title, info,dateCreated, ratingValue, ratingCount, genres
Hiến Vương Trùng Cốc,"Hiến Vương Trùng Cốc – The Valley of the Sacred (2023) nói về Hồ Bát Nhất, Tuyết Lê Dương và Vương Khải Toàn để thoát khỏi lời nguyền ban đỏ, không ngờ đã gây ra việc rò rỉ một loại khói độc, đặt mạng sống của người dân vô tội trong các bộ lạc vào nguy hiểm.",The Valley of the Sacred King 2023,"Oct. 17, 2023",7.3,9,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Địch Nhân Kiệt: Mượn Đường Âm Binh,"Địch Nhân Kiệt: Mượn Đường Âm Binh vào thời Ngô Chu, gia đình của Hồ Hiển Đức bị giết hại, Võ Tắc Thiên đã ra lệnh cho Địch Nhân Kiệt điều tra. Cuộc điều tra của Địch Nhân Kiệt phát hiện ra rằng Hồ Hiển Đức, người vốn là người trung thực và có trách nhiệm, lại có liên quan một cách kỳ lạ đến một vụ án lớn.",Di Renjie Secret Soldier Borrows the Road 2023,"Oct. 16, 2023",5.2,18,"['Phim Chính Kịch', 'Phim Cổ Trang', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Tương Tây Quỷ Án,"Tương Tây Quỷ Án kể về người dân Tương Tây yêu quê hương và có tục lệ đưa lá rụng về cội, cùng với địa lý địa phương hiểm trở, điều này đã làm nảy sinh nghề “săn xác chết”.",Strange Case in Western Hunan 2023,"Oct. 14, 2023",5.5,17,"['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Nhân Duyên Tiền Đình,"Nhân Duyên Tiền Đình – Honey Sweet (2023) chuyện phim xoay quanh nhân vật Chi-ho (Yoo Hae-jin) – nhà nghiên cứu bim bim với khả năng nếm vị xuất chúng, nhưng lại ngờ nghệch với mọi thứ xung quanh. Chi-ho là một người cực kỳ hướng nội, thích ở một mình và sống như một cái máy được lập trình sẵn mà không hề mắc lỗi dù chỉ một giây.",Honey Sweet 2023,"Oct. 14, 2023",8.7,23,"['Phim Chiếu Rạp', 'Phim Chính Kịch', 'Phim Hài', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Dịch Vụ Tại Nhà,"Dịch Vụ Tại Nhà – Home Service (2023) một sinh viên điều dưỡng ban ngày, nhân viên trị liệu xoa bóp ban đêm tên Precious gặp một khách hàng tên Happy, người dẫn cô đến thế giới mờ ám của nội dung khiêu dâm.",Home Service 2023,"Oct. 14, 2023",8.2,23,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Giới Tử Quỷ Thành,"Giới Tử Quỷ Thành – Conjuring Curse (2023) một bức thư bí ẩn gửi đến Wu Laogou, ông nội đã qua đời của Wu Xie, đã làm gián đoạn kế hoạch nghỉ hưu của Bộ ba vàng, tức là Wu Xie, Zhang Qiling và Wang Pangzi. Bức thư đề cập đến một cung điện bí ẩn dưới lòng đất có tên là “Sao chổi” ở Mông Cổ.",Conjuring Curse 2023,"Oct. 12, 2023",6,8,"['Phim Bí Ẩn', 'Phim Hành Động', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Lợi Dụng,"Lợi Dụng – Kamadora (2023) Ica làm nhân viên bán hàng trong một cửa hàng bách hóa. Với sự quyến rũ và gợi cảm của mình, cô được sếp nam chú ý. Nhưng mọi người không hề hay biết, ẩn dưới khuôn mặt xinh đẹp của cô là một nhân cách đen tối.",Kamadora 2023,"Oct. 11, 2023",10,1,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Biệt Đội Đánh Thuê 4,"Biệt Đội Đánh Thuê 4 – The Expendables 4 (2023) là phim hành động Mỹ được đạo diễn bởi Scott Waugh với phần kịch bản do Spenser Cohen, Max Adams và John Joseph Connolly chấp bút. Đây là phần hậu truyện của Biệt đội đánh thuê 3 và đồng thời cũng là phần phim thứ bốn của loạt phim Biệt đội đánh thuê.",The Expendables 4 2023,"Oct. 11, 2023",8.2,260,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Hình Sự', 'Phim Kịch Tính', '']"
Blue Beetle,"Blue Beetle một phiên bản cải tiến của nhân vật này, nhà khảo cổ học Dan Garrett, được giới thiệu vào năm 1964 bởi Charlton Comics, đã vẽ ra những khả năng thần bí từ một con bọ hung Ai Cập cổ đại. Được xuất bản bởi Charlton Comics và sau đó là DC, tác phẩm sáng tạo năm 1966 Ted Kord là học trò của Garret, người tiếp tục di sản chiến đấu chống tội phạm lâu đời của mình, mặc dù anh ta không có siêu năng lực.",Blue Beetle 2023,"Oct. 11, 2023",5.9,156,"['Phim Chiếu Rạp', 'Phim Hành Động', 'Phim Khoa Học', 'Phim Viễn Tưởng']"
Hư Không,"Hư Không – Nowhere (2023) mang thai, đơn độc và lênh đênh trên biển, người phụ nữ bị mắc kẹt trong một công-ten-nơ chở hàng cố gắng sống sót sau khi chạy trốn khỏi đất nước chuyên chế bị tàn phá.",Nowhere 2023,"Oct. 11, 2023",9.6,63,"['Phim Chính Kịch', 'Phim Kịch Tính', 'Phim Tâm Lý']"
